Kota,Kecamatan,Kelurahan,Waktu Prakiraan,Suhu (°C),Kelembapan (%),Kondisi Cuaca,Kecepatan Angin (km/jam),Latitude,Longitude
Kabupaten Bandung,Arjasari,Ancolmekar,2026-01-27 10:00:00,23,72,Berawan,8.7,-7.0907214954,107.6679685573
Kabupaten Bandung,Arjasari,Arjasari,2026-01-27 10:00:00,25,69,Berawan,8.7,-7.0609034276,107.6420512389
Kabupaten Bandung,Arjasari,Baros,2026-01-27 10:00:00,24,71,Berawan,7.2,-7.0657722642,107.6301740057
Kabupaten Bandung,Arjasari,Batukarut,2026-01-27 10:00:00,25,70,Berawan,7.2,-7.0463015405,107.6006400052
Kabupaten Bandung,Arjasari,Lebakwangi,2026-01-27 10:00:00,25,70,Berawan,7.2,-7.0423439242,107.6085987884
Kabupaten Bandung,Arjasari,Mangunjaya,2026-01-27 10:00:00,24,71,Berawan,7.2,-7.0817216671,107.6195184105
Kabupaten Bandung,Arjasari,Mekarjaya,2026-01-27 10:00:00,24,71,Berawan,7.2,-7.0830359014,107.6309496223
Kabupaten Bandung,Arjasari,Patrolsari,2026-01-27 10:00:00,25,69,Berawan,8.7,-7.0559806223,107.6698058293
Kabupaten Bandung,Arjasari,Pinggirsari,2026-01-27 10:00:00,24,71,Berawan,8.7,-7.0816253166,107.6518223705
Kabupaten Bandung,Arjasari,Rancakole,2026-01-27 10:00:00,24,70,Berawan,8.7,-7.0712714903,107.6778067845
Kabupaten Bandung,Arjasari,Wargaluyu,2026-01-27 10:00:00,25,67,Berawan,9.0,-7.035539342,107.6235618973
Kabupaten Bandung,Baleendah,Andir,2026-01-27 10:00:00,26,65,Berawan,9.0,-6.996846381,107.615827447
Kabupaten Bandung,Baleendah,Baleendah,2026-01-27 09:00:00,24,73,Cerah Berawan,9.0,-7.010215327,107.6269627521
Kabupaten Bandung,Baleendah,Bojongmalaka,2026-01-27 10:00:00,26,65,Berawan,9.0,-6.9929807723,107.6082079735
Kabupaten Bandung,Baleendah,Jelekong,2026-01-27 10:00:00,25,67,Berawan,11.2,-7.0254728736,107.66078972
