Kode,Kelurahan,Kecamatan,Kabupaten/Kota
32.04.16.2004,Ancolmekar,Arjasari,Kabupaten Bandung
32.04.16.2001,Arjasari,Arjasari,Kabupaten Bandung
32.04.16.2005,Baros,Arjasari,Kabupaten Bandung
32.04.16.2003,Batukarut,Arjasari,Kabupaten Bandung
32.04.16.2002,Lebakwangi,Arjasari,Kabupaten Bandung
32.04.16.2006,Mangunjaya,Arjasari,Kabupaten Bandung
32.04.16.2007,Mekarjaya,Arjasari,Kabupaten Bandung
32.04.16.2009,Patrolsari,Arjasari,Kabupaten Bandung
32.04.16.2008,Pinggirsari,Arjasari,Kabupaten Bandung
32.04.16.2010,Rancakole,Arjasari,Kabupaten Bandung
32.04.16.2011,Wargaluyu,Arjasari,Kabupaten Bandung
32.04.32.1002,Andir,Baleendah,Kabupaten Bandung
32.04.32.1001,Baleendah,Baleendah,Kabupaten Bandung
32.04.32.2005,Bojongmalaka,Baleendah,Kabupaten Bandung
32.04.32.1004,Jelekong,Baleendah,Kabupaten Bandung
32.04.32.2007,Malakasari,Baleendah,Kabupaten Bandung
32.04.32.1003,Manggahang,Baleendah,Kabupaten Bandung
32.04.32.2006,Rancamanyar,Baleendah,Kabupaten Bandung
32.04.32.1008,Wargamekar,Baleendah,Kabupaten Bandung
32.04.13.2003,Banjaran,Banjaran,Kabupaten Bandung
32.04.13.2002,Banjaran Wetan,Banjaran,Kabupaten Bandung
32.04.13.2005,Ciapus,Banjaran,Kabupaten Bandung
32.04.13.2001,Kamasan,Banjaran,Kabupaten Bandung
32.04.13.2007,Kiangroke,Banjaran,Kabupaten Bandung
32.04.13.2013,Margahurip,Banjaran,Kabupaten Bandung
32.04.13.2012,Mekarjaya,Banjaran,Kabupaten Bandung
32.04.13.2016,Neglasari,Banjaran,Kabupaten Bandung
32.04.13.2018,Pasirmulya,Banjaran,Kabupaten Bandung
32.04.13.2006,Sindangpanon,Banjaran,Kabupaten Bandung
32.04.13.2008,Tarajusari,Banjaran,Kabupaten Bandung
32.04.08.2005,Bojongsari,Bojongsoang,Kabupaten Bandung
32.04.08.2002,Bojongsoang,Bojongsoang,Kabupaten Bandung
32.04.08.2003,Buahbatu,Bojongsoang,Kabupaten Bandung
32.04.08.2004,Cipagalo,Bojongsoang,Kabupaten Bandung
32.04.08.2001,Lengkong,Bojongsoang,Kabupaten Bandung
32.04.08.2006,Tegalluar,Bojongsoang,Kabupaten Bandung
32.04.44.2004,Bandasari,Cangkuang,Kabupaten Bandung
32.04.44.2001,Cangkuang,Cangkuang,Kabupaten Bandung
32.04.44.2002,Ciluncat,Cangkuang,Kabupaten Bandung
32.04.44.2006,Jatisari,Cangkuang,Kabupaten Bandung
32.04.44.2003,Nagrak,Cangkuang,Kabupaten Bandung
32.04.44.2005,Pananjung,Cangkuang,Kabupaten Bandung
32.04.44.2007,Tanjungsari,Cangkuang,Kabupaten Bandung
32.04.25.2003,Babakan Peuteuy,Cicalengka,Kabupaten Bandung
32.04.25.2001,Cicalengka Kulon,Cicalengka,Kabupaten Bandung
32.04.25.2002,Cicalengka Wetan,Cicalengka,Kabupaten Bandung
32.04.25.2004,Cikuya,Cicalengka,Kabupaten Bandung
32.04.25.2005,Dampit,Cicalengka,Kabupaten Bandung
32.04.25.2006,Margaasih,Cicalengka,Kabupaten Bandung
32.04.25.2012,Nagrog,Cicalengka,Kabupaten Bandung
32.04.25.2007,Narawita,Cicalengka,Kabupaten Bandung
32.04.25.2008,Panenjoan,Cicalengka,Kabupaten Bandung
32.04.25.2009,Tanjungwangi,Cicalengka,Kabupaten Bandung
32.04.25.2010,Tenjolaya,Cicalengka,Kabupaten Bandung
32.04.25.2011,Waluya,Cicalengka,Kabupaten Bandung
32.04.27.2004,Cihanyir,Cikancung,Kabupaten Bandung
32.04.27.2002,Cikancung,Cikancung,Kabupaten Bandung
32.04.27.2003,Cikasungka,Cikancung,Kabupaten Bandung
32.04.27.2005,Ciluluk,Cikancung,Kabupaten Bandung
32.04.27.2006,Hegarmanah,Cikancung,Kabupaten Bandung
32.04.27.2001,Mandalasari,Cikancung,Kabupaten Bandung
32.04.27.2007,Mekarlaksana,Cikancung,Kabupaten Bandung
32.04.27.2009,Srirahayu,Cikancung,Kabupaten Bandung
32.04.27.2008,Tanjunglaya,Cikancung,Kabupaten Bandung
32.04.07.2002,Cilengkrang,Cilengkrang,Kabupaten Bandung
32.04.07.2003,Cipanjalu,Cilengkrang,Kabupaten Bandung
32.04.07.2005,Ciporeat,Cilengkrang,Kabupaten Bandung
32.04.07.2006,Girimekar,Cilengkrang,Kabupaten Bandung
32.04.07.2001,Jatiendah,Cilengkrang,Kabupaten Bandung
32.04.07.2004,Melatiwangi,Cilengkrang,Kabupaten Bandung
32.04.05.2005,Cibiru Hilir,Cileunyi,Kabupaten Bandung
32.04.05.2006,Cibiru Wetan,Cileunyi,Kabupaten Bandung
32.04.05.2001,Cileunyi Kulon,Cileunyi,Kabupaten Bandung
32.04.05.2002,Cileunyi Wetan,Cileunyi,Kabupaten Bandung
32.04.05.2003,Cimekar,Cileunyi,Kabupaten Bandung
32.04.05.2004,Cinunuk,Cileunyi,Kabupaten Bandung
32.04.17.2004,Campakamulya,Cimaung,Kabupaten Bandung
32.04.17.2008,Cikalong,Cimaung,Kabupaten Bandung
32.04.17.2001,Cimaung,Cimaung,Kabupaten Bandung
32.04.17.2005,Cipinang,Cimaung,Kabupaten Bandung
32.04.17.2002,Jagabaya,Cimaung,Kabupaten Bandung
32.04.17.2009,Malasari,Cimaung,Kabupaten Bandung
32.04.17.2006,Mekarsari,Cimaung,Kabupaten Bandung
32.04.17.2003,Pasirhuni,Cimaung,Kabupaten Bandung
32.04.17.2007,Sukamaju,Cimaung,Kabupaten Bandung
32.04.17.2010,Warjabakti,Cimaung,Kabupaten Bandung
32.04.06.1002,Cibeunying,Cimenyan,Kabupaten Bandung
32.04.06.2006,Ciburial,Cimenyan,Kabupaten Bandung
32.04.06.2005,Cikadut,Cimenyan,Kabupaten Bandung
32.04.06.2003,Cimenyan,Cimenyan,Kabupaten Bandung
32.04.06.2004,Mandalamekar,Cimenyan,Kabupaten Bandung
32.04.06.2009,Mekarmanik,Cimenyan,Kabupaten Bandung
32.04.06.2008,Mekarsaluyu,Cimenyan,Kabupaten Bandung
32.04.06.1001,Padasuka,Cimenyan,Kabupaten Bandung
32.04.06.2007,Sindanglaya,Cimenyan,Kabupaten Bandung
32.04.29.2012,Babakan,Ciparay,Kabupaten Bandung
32.04.29.2013,Bumiwangi,Ciparay,Kabupaten Bandung
32.04.29.2005,Ciheulang,Ciparay,Kabupaten Bandung
32.04.29.2004,Cikoneng,Ciparay,Kabupaten Bandung
32.04.29.2001,Ciparay,Ciparay,Kabupaten Bandung
32.04.29.2002,Gunungleutik,Ciparay,Kabupaten Bandung
32.04.29.2008,Manggungharja,Ciparay,Kabupaten Bandung
32.04.29.2014,Mekarlaksana,Ciparay,Kabupaten Bandung
32.04.29.2003,Mekarsari,Ciparay,Kabupaten Bandung
32.04.29.2006,Pakutandang,Ciparay,Kabupaten Bandung
32.04.29.2009,Sagaracipta,Ciparay,Kabupaten Bandung
32.04.29.2010,Sarimahi,Ciparay,Kabupaten Bandung
32.04.29.2011,Serangmekar,Ciparay,Kabupaten Bandung
32.04.29.2007,Sumbersari,Ciparay,Kabupaten Bandung
32.04.39.2002,Ciwidey,Ciwidey,Kabupaten Bandung
32.04.39.2001,Lebakmuncang,Ciwidey,Kabupaten Bandung
32.04.39.2003,Nengkelan,Ciwidey,Kabupaten Bandung
32.04.39.2004,Panundaan,Ciwidey,Kabupaten Bandung
32.04.39.2005,Panyocokan,Ciwidey,Kabupaten Bandung
32.04.39.2006,Rawabogo,Ciwidey,Kabupaten Bandung
32.04.39.2007,Sukawening,Ciwidey,Kabupaten Bandung
32.04.12.2004,Cangkuang Kulon,Dayeuhkolot,Kabupaten Bandung
32.04.12.2003,Cangkuang Wetan,Dayeuhkolot,Kabupaten Bandung
32.04.12.2006,Citeureup,Dayeuhkolot,Kabupaten Bandung
32.04.12.2002,Dayeuhkolot,Dayeuhkolot,Kabupaten Bandung
32.04.12.1001,Pasawahan,Dayeuhkolot,Kabupaten Bandung
32.04.12.2005,Sukapura,Dayeuhkolot,Kabupaten Bandung
32.04.36.2011,Cibeet,Ibun,Kabupaten Bandung
32.04.36.2003,Dukuh,Ibun,Kabupaten Bandung
32.04.36.2001,Ibun,Ibun,Kabupaten Bandung
32.04.36.2012,Karyalaksana,Ibun,Kabupaten Bandung
32.04.36.2002,Laksana,Ibun,Kabupaten Bandung
32.04.36.2006,Lampegan,Ibun,Kabupaten Bandung
32.04.36.2008,Mekarwangi,Ibun,Kabupaten Bandung
32.04.36.2007,Neglasari,Ibun,Kabupaten Bandung
32.04.36.2005,Pangguh,Ibun,Kabupaten Bandung
32.04.36.2009,Sudi,Ibun,Kabupaten Bandung
